Anim	Standing	Active	Lying	%HeadDown	DFL1	DFL2	DFL3	DFA12	DFA123	DBL1	DBL2	DBL3	DBA12	DBA123	X_Act	Y_Act	Steps	distance(m)	VarXY	DiffXY	MeanXY	prev_Active1	prev_Active2	prev_Active3	prev_Standing1	prev_Standing2	prev_Standing3	prev_Lying1	prev_Lying2	prev_Lying3	prev_steps1	prev_steps2	prev_steps3	prev_headdown1	prev_headdown2	prev_headdown3	Activity
a8	0.7788	0.2212	0	38	14.4	197	171.4	222.9	248.6	129.4	180.1	130	180.1	230.3	70	38	54	43.82	22.62741699796952	32	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	G
a1	0.7226	0.2774	0	5	176.5	166.6	177.8	233	286.1	195.6	143	21.8	272.8	419.2	64	34	64	41.37	21.213203435596427	30	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	G
a1	0.8422	0.1578	0	1	52.7	19.3	148.6	120.9	280.6	96.4	4.5	33.2	197.3	234.2	38	2	35	13.79	25.45584412271571	36	20	0.2774	0	0	0.7226	0	0	0	0	0	64	0	0	5	0	0	G
a8	0.8798	0.1202	0	7	170.2	139.7	53.2	211.3	372.2	16.6	166.1	169	186.1	231.8	116	10	24	7	74.95331880577403	106	63	0.2212	0	0	0.7788	0	0	0	0	0	54	0	0	38	0	0	G
a1	0.825	0.175	0	0	169.9	143.1	21.9	208.6	373.5	176.6	146.1	141.5	221.6	237.5	96	1	40	15.58	67.17514421272202	95	48.5	0.1578	0.2774	0	0.8422	0.7226	0	0	0	0	35	64	0	1	5	0	G
a8	0.8428	0.1572	0	12	100.9	4.5	49.4	197.3	250	37	152.4	37.4	203.4	370.1	82	12	35	13.98	49.49747468305833	70	47	0.1202	0.2212	0	0.8798	0.7788	0	0	0	0	24	54	0	7	38	0	G
a1	0.7782	0.2218	0	0	177.7	47.9	177.6	384.9	590.1	56.4	168.3	150.5	237.1	303.7	54	5	52	16.71	34.64823227814083	49	29.5	0.175	0.1578	0.2774	0.825	0.8422	0.7226	0	0	0	40	35	64	0	1	5	G
a8	0.8978	0.1022	0	4	24.7	168.3	154.3	214.3	252	185.1	26.1	149.9	394.9	570.2	95	20	22	13.42	53.033008588991066	75	57.5	0.1572	0.1202	0.2212	0.8428	0.8798	0.7788	0	0	0	35	24	54	12	7	38	G
a1	0.8298	0.1702	0	2	24.6	139.5	40.5	188.7	347.1	155.2	157.5	138.8	191.9	253.7	108	12	38	16.48	67.88225099390856	96	60	0.2218	0.175	0.1578	0.7782	0.825	0.8422	0	0	0	52	40	35	0	0	1	G
a8	0.912	0.088	0	9	155.2	143.3	37	173.4	330.2	167.9	167.9	41.9	214.9	394.9	93	38	21	5.27	38.890872965260115	55	65.5	0.1022	0.1572	0.1202	0.8978	0.8428	0.8798	0	0	0	22	35	24	4	12	7	G
a1	0.8154	0.1846	0	1	174	181.2	51.2	186.9	388.7	161.3	60	24.8	327.2	369.7	68	8	43	12.07	42.42640687119285	60	38	0.1702	0.2218	0.175	0.8298	0.7782	0.825	0	0	0	38	52	40	2	0	0	G
