Anim	Standing	Active	Lying	%HeadDown	DFL1	DFL2	DFL3	DFA12	DFA123	DBL1	DBL2	DBL3	DBA12	DBA123	X_Act	Y_Act	Steps	distance(m)	VarXY	DiffXY	MeanXY	prev_Active1	prev_Active2	prev_Active3	prev_Standing1	prev_Standing2	prev_Standing3	prev_Lying1	prev_Lying2	prev_Lying3	prev_steps1	prev_steps2	prev_steps3	prev_headdown1	prev_headdown2	prev_headdown3	Activity
a11	0.4446	0.5554	0	55	49.7	241.3	182.1	242.2	346.2	176.6	175.9	6.9	177.4	347.6	193	55	135	104.05	97.58073580374356	138	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	G
a6	0.55	0.45	0	37	234.9	186.4	55.4	330	528.1	174.4	234.8	44.3	278.4	471	68	31	113	96.84	26.16295090390226	37	49.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	G
a14	0.6302	0.3698	0	95	176.4	232.1	41.5	266.9	528.2	234.1	228.1	60	250.9	459.8	120	6	91	90.14	80.61017305526642	114	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	G
a6	0.9244	0.0756	0	47	201.8	192.3	48.1	278.2	484.5	12.9	181.2	35.9	186.9	348.2	96	45	17	11.96	36.06244584051392	51	70.5	0.45	0	0	0.55	0	0	0	0	0	113	0	0	37	0	0	G
a11	0.6614	0.3386	0	95	179.5	39.9	28.6	341.6	363.4	215.1	172.8	47.8	259.4	431.6	137	22	48	8.4	81.31727983645297	115	79.5	0.5554	0	0	0.4446	0	0	0	0	0	135	0	0	55	0	0	G
a14	0.8558	0.1442	0	95	164.1	53.5	176.9	339.3	542.3	17.7	35	166	39.5	201.6	144	12	23	8.37	93.33809511662427	132	78	0.3698	0	0	0.6302	0	0	0	0	0	91	0	0	95	0	0	G
a14	0.9156	0.0844	0	75	54.9	9	14.9	100.8	112.4	153	157.2	51.1	207.8	402.4	174	12	12	8.96	114.5512985522207	162	93	0.1442	0.3698	0	0.8558	0.6302	0	0	0	0	23	91	0	95	95	0	G
a6	0.9154	0.0846	0	85	17.5	45.2	25.6	61.1	118.9	166	49.3	163.6	333.4	497.7	124	33	20	7.8	64.34671708797582	91	78.5	0.0756	0.45	0	0.9244	0.55	0	0	0	0	17	113	0	47	37	0	G
a11	0.7658	0.2342	0	92	48.5	192.9	171.5	254.6	304.7	49.4	12	181.1	101.5	270.7	164	30	39	4.47	94.75230867899737	134	97	0.3386	0.5554	0	0.6614	0.4446	0	0	0	0	48	135	0	95	55	0	G
a14	0.9092	0.0908	0	77	56.1	55	158	147.4	340.2	143.7	62.1	73.9	339.4	473.6	155	22	17	7.2	94.04520189781084	133	88.5	0.0844	0.1442	0.3698	0.9156	0.8558	0.6302	0	0	0	12	23	91	75	95	95	G
a6	0.9428	0.0572	0	71	15.5	8	171.3	25.5	189.9	54.9	60.4	168.4	60.6	227.8	39	6	13	5.41	23.33452377915607	33	22.5	0.0846	0.0756	0.45	0.9154	0.9244	0.55	0	0	0	20	17	113	85	47	37	G
a11	0.785	0.215	0	76	172.5	50.4	53.4	337.6	340.5	171.5	47	177	336.8	510.1	160	16	33	3.45	101.82337649086284	144	88	0.2342	0.3386	0.5554	0.7658	0.6614	0.4446	0	0	0	39	48	135	92	95	55	G
a14	0.8984	0.1016	0	79	19.9	24.4	36	49.2	73.6	175.1	25	18.3	367.2	388	94	9	19	11.48	60.10407640085654	85	51.5	0.0908	0.0844	0.1442	0.9092	0.9156	0.8558	0	0	0	17	12	23	77	75	95	G
a11	0.797	0.203	0	71	53.6	176.9	30.2	231.9	410.7	31.7	162.3	236.2	171.3	293.4	116	19	33	6.71	68.58935777509511	97	67.5	0.215	0.2342	0.3386	0.785	0.7658	0.6614	0	0	0	33	39	48	76	92	95	G
a6	0.9794	0.0206	0	79	188.6	173.1	191.1	206.7	229.4	35	170.3	56	230.5	393.1	71	48	4	2.93	16.263455967290593	23	59.5	0.0572	0.0846	0.0756	0.9428	0.9154	0.9244	0	0	0	13	20	17	71	85	47	G
a14	0.8618	0.1382	0	77	18.1	155.5	151.9	191.7	268.3	61.9	18.6	158.7	105.2	265.5	161	17	22	7.94	101.82337649086284	144	89	0.1016	0.0908	0.0844	0.8984	0.9092	0.9156	0	0	0	19	17	12	79	77	75	G
a6	0.96	0.04	0	57	192.7	171.2	25.4	214.2	382.2	33.9	174.7	33	203.4	405.7	39	141	8	2.79	72.12489168102785	102	90	0.0206	0.0572	0.0846	0.9794	0.9428	0.9154	0	0	0	4	13	20	79	71	85	G
a11	0.7242	0.2758	0	84	32	12.1	173.3	57.7	222.9	57.3	26.4	27.1	140.9	155.4	152	34	42	2.53	83.43860018001261	118	93	0.203	0.215	0.2342	0.797	0.785	0.7658	0	0	0	33	33	39	71	76	92	G
a6	0.7762	0.2238	0	48	14.6	150.2	157.5	173	196.9	6.7	9	12.4	18	27.7	64	30	51	17.56	24.041630560342615	34	47	0.04	0.0206	0.0572	0.96	0.9794	0.9428	0	0	0	8	4	13	57	79	71	G
a11	0.7274	0.2726	0	71	180.7	168.3	18.1	237.1	414.7	66.6	16	202.1	147.7	354.5	168	54	52	16.97	80.61017305526642	114	111	0.2758	0.203	0.215	0.7242	0.797	0.785	0	0	0	42	33	33	84	71	76	G
a14	0.8274	0.1726	0	77	19.2	163.6	23	199.9	362.6	51	73.3	21.7	145.4	207.3	64	1	32	6.2	44.54772721475249	63	32.5	0.1382	0.1016	0.0908	0.8618	0.8984	0.9092	0	0	0	22	19	17	77	79	77	G
a14	0.798	0.202	0	61	162.3	44.3	153.9	368.9	567.1	11.3	17.7	40	22.1	44.6	161	12	40	16.13	105.35891039679558	149	86.5	0.1726	0.1382	0.1016	0.8274	0.8618	0.8984	0	0	0	32	22	19	77	77	79	G
a6	0.8944	0.1056	0	37	166.7	49.3	91.3	322	365.1	29.5	53.5	36.4	91.3	108.5	46	15	24	11.04	21.920310216782973	31	30.5	0.2238	0.04	0.0206	0.7762	0.96	0.9794	0	0	0	51	8	4	48	57	79	G
a11	0.857	0.143	0	84	186.4	163	15.6	212.3	359.7	47.1	18.5	13.9	81.2	86.7	138	17	23	6.42	85.55992052357225	121	77.5	0.2726	0.2758	0.203	0.7274	0.7242	0.797	0	0	0	52	42	33	71	84	71	G
a14	0.8594	0.1406	0	64	60.5	10.3	32.8	122.3	158.9	205.3	9.3	177.6	412.5	590.1	168	5	26	16.68	115.25840533340724	163	86.5	0.202	0.1726	0.1382	0.798	0.8274	0.8618	0	0	0	40	32	22	61	77	77	G
a6	0.8954	0.1046	0	33	259.4	11.9	23.6	521.1	544.8	42.4	32.1	10.3	59.3	101.4	34	32	24	12.16	1.4142135623730951	2	33	0.1056	0.2238	0.04	0.8944	0.7762	0.96	0	0	0	24	51	8	37	48	57	G
a11	0.6924	0.3076	0	65	168.8	163.6	90	212	404.2	30.8	81.7	178.4	103.1	295	188	24	46	5.05	115.9655121145938	164	106	0.143	0.2726	0.2758	0.857	0.7274	0.7242	0	0	0	23	52	42	84	71	84	G
